,ARREST_KEY,ARREST_DATE,PD_CD,PD_DESC,KY_CD,OFNS_DESC,LAW_CODE,LAW_CAT_CD,ARREST_BORO,ARREST_PRECINCT,JURISDICTION_CODE,AGE_GROUP,PERP_SEX,PERP_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,date,week_day,day,month
29,173121081,12/31/2017,439.0,"LARCENY,GRAND FROM OPEN AREAS,UNCLASSIFIED",109.0,GRAND LARCENY,PL 1553004,F,K,90,0.0,25-44,M,BLACK,998016.0,196598.0,40.70629036500002,-73.95035033099998,2017-12-31,6,31,12
410,173103588,12/30/2017,223.0,"BURGLARY,RESIDENCE,NIGHT",107.0,BURGLARY,PL 1402502,F,K,90,0.0,25-44,M,WHITE HISPANIC,998016.0,196598.0,40.70629036500002,-73.95035033099998,2017-12-30,5,30,12
449,173103587,12/30/2017,223.0,"BURGLARY,RESIDENCE,NIGHT",107.0,BURGLARY,PL 1402502,F,K,90,0.0,25-44,M,WHITE HISPANIC,998016.0,196598.0,40.70629036500002,-73.95035033099998,2017-12-30,5,30,12
616,173104459,12/30/2017,223.0,"BURGLARY,RESIDENCE,NIGHT",107.0,BURGLARY,PL 1402502,F,K,90,0.0,25-44,M,WHITE HISPANIC,998016.0,196598.0,40.70629036500002,-73.95035033099998,2017-12-30,5,30,12
631,173103586,12/30/2017,223.0,"BURGLARY,RESIDENCE,NIGHT",107.0,BURGLARY,PL 1402502,F,K,90,0.0,25-44,M,WHITE HISPANIC,998016.0,196598.0,40.70629036500002,-73.95035033099998,2017-12-30,5,30,12
927,173080632,12/29/2017,109.0,"ASSAULT 2,1,UNCLASSIFIED",106.0,FELONY ASSAULT,PL 1200502,F,K,90,0.0,18-24,M,WHITE,995054.0,198669.0,40.71197888200004,-73.96103032799994,2017-12-29,4,29,12
1061,173078307,12/29/2017,779.0,"PUBLIC ADMINISTRATION,UNCLASSIFIED FELONY",126.0,MISCELLANEOUS PENAL LAW,PL 215510B,F,K,90,0.0,45-64,M,BLACK,998016.0,196598.0,40.70629036500002,-73.95035033099998,2017-12-29,4,29,12
1200,173093578,12/29/2017,109.0,"ASSAULT 2,1,UNCLASSIFIED",106.0,FELONY ASSAULT,PL 1201001,F,K,94,0.0,18-24,M,BLACK,997245.0,204130.0,40.726965067000044,-73.95311662899995,2017-12-29,4,29,12
1224,173093583,12/29/2017,109.0,"ASSAULT 2,1,UNCLASSIFIED",106.0,FELONY ASSAULT,PL 1201001,F,K,94,0.0,18-24,M,BLACK,997245.0,204130.0,40.726965067000044,-73.95311662899995,2017-12-29,4,29,12
1227,173103592,12/29/2017,244.0,"BURGLARY,UNCLASSIFIED,UNKNOWN TIME",107.0,BURGLARY,PL 1402501,F,K,90,0.0,25-44,M,WHITE HISPANIC,995734.0,197465.0,40.708673331000064,-73.95857955299994,2017-12-29,4,29,12
1312,173103589,12/29/2017,244.0,"BURGLARY,UNCLASSIFIED,UNKNOWN TIME",107.0,BURGLARY,PL 1402501,F,K,90,0.0,25-44,M,WHITE HISPANIC,995734.0,197465.0,40.708673331000064,-73.95857955299994,2017-12-29,4,29,12
1372,173104460,12/29/2017,244.0,"BURGLARY,UNCLASSIFIED,UNKNOWN TIME",107.0,BURGLARY,PL 1402501,F,K,90,0.0,25-44,M,WHITE HISPANIC,995734.0,197465.0,40.708673331000064,-73.95857955299994,2017-12-29,4,29,12
1463,173064931,12/28/2017,269.0,"MISCHIEF,CRIMINAL,    UNCL 2ND DEG 3RD DEG",121.0,CRIMINAL MISCHIEF & RELATED OFFENSES,PL 1450500,F,K,94,0.0,25-44,M,WHITE,998469.0,201680.0,40.72023852700005,-73.94870571999998,2017-12-28,3,28,12
1476,173050833,12/28/2017,439.0,"LARCENY,GRAND FROM OPEN AREAS,UNCLASSIFIED",109.0,GRAND LARCENY,PL 1553001,F,K,90,0.0,18-24,F,WHITE HISPANIC,1000178.0,195552.0,40.70341571400007,-73.94255491999998,2017-12-28,3,28,12
1531,173063379,12/28/2017,397.0,"ROBBERY,UNCLASSIFIED,OPEN AREAS",105.0,ROBBERY,PL 160102A,F,K,90,0.0,45-64,M,BLACK,1001936.0,195643.0,40.70366214800004,-73.93621421299997,2017-12-28,3,28,12
1653,173037032,12/28/2017,139.0,"MURDER,UNCLASSIFIED",101.0,MURDER & NON-NEGL. MANSLAUGHTER,PL 1252501,F,K,90,0.0,25-44,M,BLACK,998016.0,196598.0,40.70629036500002,-73.95035033099998,2017-12-28,3,28,12
1785,173063380,12/28/2017,397.0,"ROBBERY,UNCLASSIFIED,OPEN AREAS",105.0,ROBBERY,PL 160102A,F,K,90,0.0,45-64,M,BLACK,1001936.0,195643.0,40.70366214800004,-73.93621421299997,2017-12-28,3,28,12
2013,173043483,12/28/2017,439.0,"LARCENY,GRAND FROM OPEN AREAS,UNCLASSIFIED",109.0,GRAND LARCENY,PL 1553500,F,K,90,0.0,25-44,M,BLACK,998016.0,196598.0,40.70629036500002,-73.95035033099998,2017-12-28,3,28,12
2211,173018815,12/27/2017,503.0,"CONTROLLED SUBSTANCE,INTENT TO SELL 3",117.0,DANGEROUS DRUGS,PL 2201601,F,K,90,0.0,25-44,M,WHITE HISPANIC,995893.0,198266.0,40.710871678000046,-73.95800466699995,2017-12-27,2,27,12
2276,172984935,12/27/2017,793.0,WEAPONS POSSESSION 3,118.0,DANGEROUS WEAPONS,PL 2650201,F,K,90,0.0,25-44,M,BLACK,1000834.0,196032.0,40.70473199600008,-73.940187784,2017-12-27,2,27,12
2336,173026064,12/27/2017,109.0,"ASSAULT 2,1,UNCLASSIFIED",106.0,FELONY ASSAULT,PL 1200502,F,K,90,0.0,25-44,F,BLACK,1001079.0,195776.0,40.70402887300003,-73.93930477999999,2017-12-27,2,27,12
2515,173002618,12/27/2017,793.0,WEAPONS POSSESSION 3,118.0,DANGEROUS WEAPONS,PL 265025B,F,K,90,0.0,25-44,M,WHITE HISPANIC,1000534.0,198369.0,40.711147065000034,-73.94126414499993,2017-12-27,2,27,12
3018,172977291,12/26/2017,510.0,"CONTROLLED SUBSTANCE, INTENT TO SELL 5",117.0,DANGEROUS DRUGS,PL 2200601,F,K,90,0.0,45-64,M,WHITE HISPANIC,999526.0,196922.0,40.70717719000004,-73.94490333899995,2017-12-26,1,26,12
3023,172951634,12/26/2017,269.0,"MISCHIEF,CRIMINAL,    UNCL 2ND",121.0,CRIMINAL MISCHIEF & RELATED OFFENSES,PL 1450502,F,K,90,0.0,18-24,F,ASIAN / PACIFIC ISLANDER,1001274.0,195793.0,40.70407516100005,-73.938601437,2017-12-26,1,26,12
3050,172951633,12/26/2017,269.0,"MISCHIEF,CRIMINAL,    UNCL 2ND",121.0,CRIMINAL MISCHIEF & RELATED OFFENSES,PL 1450502,F,K,90,0.0,25-44,M,WHITE,1001274.0,195793.0,40.70407516100005,-73.938601437,2017-12-26,1,26,12
3404,172946333,12/25/2017,269.0,"MISCHIEF,CRIMINAL,    UNCL 2ND DEG 3RD DEG",121.0,CRIMINAL MISCHIEF & RELATED OFFENSES,PL 1450500,F,K,94,0.0,25-44,F,WHITE,995910.0,201863.0,40.72074456100006,-73.95793711799999,2017-12-25,0,25,12
3464,172948316,12/25/2017,109.0,"ASSAULT 2,1,UNCLASSIFIED",106.0,FELONY ASSAULT,PL 1200502,F,K,90,0.0,45-64,M,WHITE HISPANIC,1002577.0,195808.0,40.704113730000074,-73.93390190199995,2017-12-25,0,25,12
3693,172928594,12/24/2017,461.0,UNAUTHORIZED USE VEHICLE 2,126.0,MISCELLANEOUS PENAL LAW,PL 1650600,F,K,90,0.0,18-24,M,BLACK,995294.0,199170.0,40.713353711000025,-73.96016380199995,2017-12-24,6,24,12
3743,172936130,12/24/2017,439.0,"LARCENY,GRAND FROM OPEN AREAS,UNCLASSIFIED",109.0,GRAND LARCENY,PL 1553004,F,K,90,0.0,25-44,M,WHITE HISPANIC,998016.0,196598.0,40.70629036500002,-73.95035033099998,2017-12-24,6,24,12
3869,172921204,12/23/2017,244.0,"BURGLARY,UNCLASSIFIED,UNKNOWN TIME",107.0,BURGLARY,PL 1402000,F,K,94,0.0,25-44,M,WHITE HISPANIC,997245.0,204130.0,40.726965067000044,-73.95311662899995,2017-12-23,5,23,12
4017,172893939,12/23/2017,397.0,"ROBBERY,UNCLASSIFIED,OPEN AREAS",105.0,ROBBERY,PL 1601001,F,K,90,0.0,18-24,M,WHITE HISPANIC,998016.0,196598.0,40.70629036500002,-73.95035033099998,2017-12-23,5,23,12
4078,172893938,12/23/2017,244.0,"BURGLARY,UNCLASSIFIED,UNKNOWN TIME",107.0,BURGLARY,PL 1402000,F,K,90,0.0,18-24,M,WHITE HISPANIC,998016.0,196598.0,40.70629036500002,-73.95035033099998,2017-12-23,5,23,12
4289,172894090,12/23/2017,244.0,"BURGLARY,UNCLASSIFIED,UNKNOWN TIME",107.0,BURGLARY,PL 1402000,F,K,94,0.0,25-44,M,WHITE HISPANIC,997245.0,204130.0,40.726965067000044,-73.95311662899995,2017-12-23,5,23,12
4442,172892469,12/22/2017,223.0,"BURGLARY,RESIDENCE,NIGHT",107.0,BURGLARY,PL 1402502,F,K,90,0.0,25-44,M,WHITE,1001614.0,199227.0,40.713500017000065,-73.93736631299998,2017-12-22,4,22,12
4631,172885217,12/22/2017,397.0,"ROBBERY,UNCLASSIFIED,OPEN AREAS",105.0,ROBBERY,PL 160102A,F,K,90,0.0,25-44,F,BLACK,998016.0,196598.0,40.70629036500002,-73.95035033099998,2017-12-22,4,22,12
4697,172892468,12/22/2017,779.0,"PUBLIC ADMINISTRATION,UNCLASSIFIED FELONY",126.0,MISCELLANEOUS PENAL LAW,PL 2155100,F,K,90,0.0,25-44,M,WHITE,998016.0,196598.0,40.70629036500002,-73.95035033099998,2017-12-22,4,22,12
